Order Number,Date of Order,,,Lineitem name,Accepts Marketing,Cancelled at,Currency,Discount Amount,Discount Code,Financial Status,Fulfilled at,Fulfillment Status,Lineitem discount,Lineitem fulfillment status,Lineitem price,Order Quantity,Lineitem quantity,Lineitem requires shipping,Lineitem taxable,Outstanding Balance,Paid at,Payment Method,Payment Reference,Refunded Amount,Risk Level,Shipping,Shipping Country,Shipping Method,Source,Subtotal,Taxes,Total,Vendor
,,,,Grey Ruffle Sleeve Shirtdress - M,0,0,0,0,0,0,0,0,0,pending,60,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rush & Reez
,,,,Overized Nude Shirtdress - S,no,2017-06-01 22:31:23 +0300,USD,0,0,pending,0,unfulfilled,0,pending,85,,1,1,1,225,0,custom,0,0,Low,0,LB,Free Shipping,web,225,0,225,Rush & Reez
R-S-1025,22/05/2017,18:04:08,300,Black & White Culotte Pants - L,0,0,0,0,0,0,0,0,0,fulfilled,60,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Rush & Reez
,,,,Black & White Waterfall Top - L,no,0,USD,0,0,paid,2017-05-24 09:58:01 +0300,fulfilled,0,fulfilled,90,,1,1,1,0,2017-05-22 18:04:08 +0300,2Checkout,c15382588367.1,0,Low,0,QA,Free Shipping,web,275,0,275,Rush & Reez
,,,,Black Sweat Suit - L,0,0,0,0,0,0,0,0,0,fulfilled,80,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Rush & Reez
,,,,White Basic Cotton Sweat Dress - White / L,0,0,0,0,0,0,0,0,0,fulfilled,45,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Rush & Reez
R-S-1026,26/05/2017,11:37:08,300,Navy Phantom Shirtdress - OS,no,0,USD,0,0,paid,2017-06-01 22:30:52 +0300,fulfilled,0,fulfilled,80,1,1,1,0,0,2017-05-26 11:37:09 +0300,2Checkout,c15430761807.1,0,Low,0,LB,Free Shipping,web,80,0,80,Rush & Reez
R-S-1034,08/06/2017,14:28:38,300,Cardinal OmbrÌ© Scarf,0,0,0,0,0,0,0,0,0,pending,60,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rush & Reez
,,,,Red May Top - L,no,2017-06-16 23:20:51 +0300,USD,0,0,pending,0,unfulfilled,0,pending,60,,1,1,0,220,0,custom,0,0,Low,0,LB,Free Shipping,web,220,0,220,Rush & Reez
,,,,Red Sherwal Pants - OS,0,0,0,0,0,0,0,0,0,pending,100,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Rush & Reez
R-S-1035,08/06/2017,20:42:49,300,Black and White Zip-Up Top - S,0,0,0,0,0,0,0,0,0,fulfilled,100,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Rush & Reez
,,,,Grey Ruffle Sleeve Shirtdress - S,no,0,USD,0,0,paid,2017-06-16 23:21:55 +0300,fulfilled,0,fulfilled,60,,1,1,0,0,2017-06-08 20:42:50 +0300,2Checkout,c15565834447.1,0,Low,0,LB,Free Shipping,web,395,0,395,Rush & Reez
,,,,Grey Sweat Suit - S,0,0,0,0,0,0,0,0,0,fulfilled,80,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Rush & Reez
,,,,Pink Crepe Culotte Pants - S,0,0,0,0,0,0,0,0,0,fulfilled,110,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rush & Reez
,,,,Pink Pique Tunic - S,0,0,0,0,0,0,0,0,0,fulfilled,45,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rush & Reez
R-S-1036,07/08/2017,16:01:27,300,Blue Flare Shirtdress - L,0,0,0,0,0,0,0,0,0,fulfilled,70,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rush & Reez
,,,,Grey Ruffle Sleeve Shirtdress - L,0,0,0,0,0,0,0,0,0,fulfilled,60,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rush & Reez
,,,,Lace Phantom Top - OS,no,0,USD,0,0,paid,2017-08-25 11:15:55 +0300,fulfilled,0,fulfilled,150,,1,1,0,0,2017-08-07 16:01:27 +0300,2Checkout,c16058179343.1,0,Low,0,ES,Free Shipping,web,950,0,950,Rush & Reez
,,,,Light Navy Cape,0,0,0,0,0,0,0,0,0,fulfilled,160,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rush & Reez
,,,,Magenta OmbrÌ© Scarf,0,0,0,0,0,0,0,0,0,fulfilled,60,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rush & Reez
,,,,Maxi Military Shirt Dress - M,0,0,0,0,0,0,0,0,0,fulfilled,80,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Rush & Reez
,,,,Overized Nude Shirtdress - OS,0,0,0,0,0,0,0,0,0,fulfilled,85,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Rush & Reez
,,,,Oversized Blackberry Shirtdress - OS,0,0,0,0,0,0,0,0,0,fulfilled,80,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rush & Reez
,,,,Pink May Ribbon Tunic - L,0,0,0,0,0,0,0,0,0,fulfilled,70,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rush & Reez
,,,,Pink Pique Tunic - L,0,0,0,0,0,0,0,0,0,fulfilled,45,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rush & Reez
,,,,White Basic Cotton Sweater - White / L,0,0,0,0,0,0,0,0,0,fulfilled,35,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Rush & Reez
,,,,White Cotton Shirtdress - L,0,0,0,0,0,0,0,0,0,fulfilled,55,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rush & Reez
R-S-1037,09/09/2017,22:24:55,300,Black Jersey With Shirt Detail - S,0,0,0,0,0,0,0,0,0,pending,45,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rush & Reez
,,,,Black Sweat Suit - S,no,2017-11-01 10:38:10 +0300,USD,0,0,pending,0,unfulfilled,0,pending,80,,1,1,1,160,0,custom,0,0,Low,0,LB,Free Shipping,web,160,0,160,Rush & Reez
,,,,White Basic Cotton Sweater - White / M,0,0,0,0,0,0,0,0,0,pending,35,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Rush & Reez
R-S-1038,01/11/2017,7:00:05,300,Black Maxi Knitted Dress,0,0,0,0,0,0,0,0,0,fulfilled,80,8,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Rush & Reez
,,,,Blue Colorblock  Top - L,0,0,0,0,0,0,0,0,0,fulfilled,55,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rush & Reez
,,,,Burgundy Maxi Knitted Dress,0,0,0,0,0,0,0,0,0,fulfilled,80,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Rush & Reez
,,,,Hybrid Colorblock Pants - M,0,0,0,0,0,0,0,0,0,fulfilled,80,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rush & Reez
,,,,Lightweight Military Bomber Jacket - M,0,0,0,0,0,0,0,0,0,fulfilled,100,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Rush & Reez
,,,,Military Ribbon Pants - M,0,0,0,0,0,0,0,0,0,fulfilled,55,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rush & Reez
,,,,Pink Sweat Suit - L,0,0,0,0,0,0,0,0,0,fulfilled,80,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Rush & Reez
,,,,Red Puff Sleeve Dress - L,no,0,USD,0,0,paid,2017-11-21 01:13:15 +0300,fulfilled,0,fulfilled,55,,1,1,0,0,2017-11-01 07:00:06 +0300,2Checkout,c302819901468.1,0,Low,0,US,Free Shipping,web,585,0,585,Rush & Reez
R-S-1039,05/11/2017,7:01:13,300,Pleated White & Silver Ensemble - OS,no,0,USD,0,0,paid,2017-11-10 10:20:12 +0300,fulfilled,0,fulfilled,140,1,1,1,0,0,2017-11-05 07:01:13 +0300,2Checkout,c313624199196.1,0,Low,20,CA,Aramex International Shipping,web,140,0,160,Rush & Reez
R-S-1040,26/11/2017,21:12:10,300,Grey Knitted Coord Set,no,2018-01-30 04:20:49 +0300,USD,0,0,voided,0,unfulfilled,0,pending,85,1,1,1,0,85,0,custom,0,0,Low,0,LB,Free Shipping,web,85,0,85,RUSH & REEZ
R-S-1041,27/11/2017,19:51:31,300,Pink Bomber Ensemble - S,no,2018-01-30 04:27:30 +0300,USD,0,0,voided,0,unfulfilled,0,pending,120,1,1,1,0,123,0,custom,0,0,Low,3,LB,Local Shipping,web,120,0,123,Rush & Reez
R-S-1042,27/11/2017,20:38:27,300,Floral Quilted Cardigan - Black / One Size,no,2017-12-05 14:07:08 +0300,USD,0,0,voided,0,unfulfilled,0,pending,50,6,1,1,0,208,0,custom,0,0,Low,3,LB,Local Shipping,web,205,0,208,Rush & Reez
,,,,Maxi Blue Jaquard Skirt - M,0,0,0,0,0,0,0,0,0,pending,35,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Rush & Reez
,,,,Oversized Quilted Sweater Dress-Emerald - One Size,0,0,0,0,0,0,0,0,0,pending,40,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rush & Reez
,,,,Pink Oversized Maxi Dress - M / Pink,0,0,0,0,0,0,0,0,0,pending,30,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rush & Reez
,,,,Striped Navy Shirtdress - L / Blue,0,0,0,0,0,0,0,0,0,pending,20,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rush & Reez
,,,,White Cross Shirt - M,0,0,0,0,0,0,0,0,0,pending,30,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rush & Reez
R-S-1043,27/11/2017,21:05:36,300,Basic Black Skirt - Black / M,no,2017-12-05 14:07:22 +0300,USD,0,0,voided,0,unfulfilled,0,pending,20,1,1,1,0,23,0,custom,0,0,Low,3,LB,Local Shipping,web,20,0,23,Rush & Reez
R-S-1044,27/11/2017,21:11:05,300,Jane Austin Skirt - M,no,2017-12-05 14:07:34 +0300,USD,0,0,voided,0,unfulfilled,0,pending,60,1,1,1,0,63,0,custom,0,0,Low,3,LB,Local Shipping,web,60,0,63,Rush & Reez
R-S-1045,27/11/2017,21:42:49,300,Hi-Lo Top - White / M,no,2017-12-05 14:07:54 +0300,USD,0,0,voided,0,unfulfilled,0,pending,15,1,1,1,0,18,0,custom,0,0,Low,3,LB,Local Shipping,web,15,0,18,Rush & Reez
R-S-1046,27/11/2017,23:29:28,300,Basic Blue Shirtdress - L / Blue,no,2018-01-30 04:25:58 +0300,USD,0,0,voided,0,unfulfilled,0,pending,20,5,1,1,0,143,0,custom,0,0,Low,3,LB,Local Shipping,web,140,0,143,Rush & Reez
,,,,Draped Diana Vest - White / One Size,0,0,0,0,0,0,0,0,0,pending,35,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rush & Reez
,,,,Phantom Dress - Black / One Size / Short,0,0,0,0,0,0,0,0,0,pending,25,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rush & Reez
,,,,Pink Oversized Maxi Dress - L / Pink,0,0,0,0,0,0,0,0,0,pending,30,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rush & Reez
,,,,White Phantom Dress - White / One Size,0,0,0,0,0,0,0,0,0,pending,30,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rush & Reez
R-S-1047,28/11/2017,0:51:38,300,Belted Blue Shirtdress - M / Blue,0,0,0,0,0,0,0,0,0,pending,25,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rush & Reez
,,,,Blue Grosgrain Longline Jacket - S,0,0,0,0,0,0,0,0,0,pending,40,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rush & Reez
,,,,BouclÌ© Detail Shirtdress - M,0,0,0,0,0,0,0,0,0,pending,35,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rush & Reez
,,,,Burgundy Phantom Top,0,0,0,0,0,0,0,0,0,pending,30,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Rush & Reez
,,,,Maxi Navy Shirt Dress - S,no,2017-12-15 13:06:38 +0300,USD,0,0,voided,0,unfulfilled,0,pending,40,,1,1,1,213,0,custom,0,0,Low,3,LB,Local Shipping,web,210,0,213,Rush & Reez
,,,,Mia Sweatsuit - M / Navy,0,0,0,0,0,0,0,0,0,pending,40,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rush & Reez
R-S-1048,28/11/2017,13:34:02,300,Belted Blue Shirtdress - M / Blue,0,0,0,0,0,0,0,0,0,pending,25,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rush & Reez
,,,,Black & White Ribbon Dress - S / Black,no,2017-12-15 13:11:10 +0300,USD,0,0,voided,0,unfulfilled,0,pending,35,,1,1,0,98,0,custom,0,0,Low,3,LB,Local Shipping,web,95,0,98,Rush & Reez
,,,,Oversized Diana Sweater Dress - S / White,0,0,0,0,0,0,0,0,0,pending,35,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rush & Reez
R-S-1049,28/11/2017,16:50:15,300,Black Ruffle Dress - M / Black,no,2017-12-05 14:09:19 +0300,USD,0,0,paid,0,unfulfilled,0,pending,29,1,1,1,0,0,2017-11-28 16:50:15 +0300,2Checkout,c391978811420.1,0,Low,3,LB,Local Shipping,web,29,0,32,Rush & Reez
R-S-1050,28/11/2017,17:36:10,300,Mia Silk Sweater Dress - S,no,2017-12-15 12:21:09 +0300,USD,0,0,voided,0,unfulfilled,0,pending,35,1,1,1,0,38,0,custom,0,0,Low,3,LB,Local Shipping,web,35,0,38,Rush & Reez
R-S-1051,28/11/2017,22:24:00,300,Maggy BouclÌ© Sweater Dress - Black / M,no,2018-01-30 04:20:17 +0300,USD,0,0,voided,0,unfulfilled,0,pending,50,1,1,1,0,53,0,custom,0,0,Low,3,LB,Local Shipping,web,50,0,53,Rush & Reez
R-S-1052,28/11/2017,22:38:00,300,Basic White Shirtdress - M / White / Short,0,0,0,0,0,0,0,0,0,pending,20,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rush & Reez
,,,,Belted Blue Shirtdress - L / Blue,no,2017-12-05 14:09:48 +0300,USD,0,0,voided,0,unfulfilled,0,pending,25,,1,1,0,77,0,custom,0,0,Low,3,LB,Local Shipping,web,74,0,77,Rush & Reez
,,,,White Ruffle Dress - M / White,0,0,0,0,0,0,0,0,0,pending,29,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Rush & Reez
R-S-1053,28/11/2017,23:59:12,300,Citron Bomber Jacket - M,0,0,0,0,0,0,0,0,0,pending,35,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Rush & Reez
,,,,Pink Oversized Maxi Dress - M / Pink,no,2018-01-30 04:21:36 +0300,USD,0,0,voided,0,unfulfilled,0,pending,30,,1,1,0,113,0,custom,0,0,Low,3,LB,Local Shipping,web,110,0,113,Rush & Reez
,,,,Striped Navy Shirtdress - L / Blue,0,0,0,0,0,0,0,0,0,pending,20,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rush & Reez
,,,,Wide Pants - Black / M,0,0,0,0,0,0,0,0,0,pending,25,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rush & Reez
R-S-1054,29/11/2017,0:58:34,300,Mia White Sweater Dress - M / White,no,2017-12-05 15:26:14 +0300,USD,0,0,voided,0,unfulfilled,0,pending,20,1,1,1,0,23,0,custom,0,0,Low,3,LB,Local Shipping,web,20,0,23,Rush & Reez
R-S-1055,29/11/2017,1:06:55,300,Black Quilted Draped Vest - Black / One Size,no,2017-12-02 13:32:15 +0300,USD,0,0,voided,0,unfulfilled,0,pending,30,3,1,1,0,133,0,custom,0,0,Low,3,LB,Local Shipping,web,130,0,133,Rush & Reez
,,,,Cape Jacket - M / White,0,0,0,0,0,0,0,0,0,pending,70,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rush & Reez
,,,,Tulle Skirt - Cream / M,0,0,0,0,0,0,0,0,0,pending,30,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rush & Reez
R-S-1056,29/11/2017,10:07:26,300,Hi-Lo Top - White / L,0,0,0,0,0,0,0,0,0,pending,15,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rush & Reez
,,,,Wide Pants - Military / L,no,2017-12-05 14:11:09 +0300,USD,0,0,voided,0,unfulfilled,0,pending,25,,1,1,0,43,0,custom,0,0,Low,3,LB,Local Shipping,web,40,0,43,Rush & Reez
R-S-1057,29/11/2017,10:23:28,300,Dust Pink Phantom Co-ord - L,no,2017-12-05 14:37:21 +0300,USD,0,0,voided,0,unfulfilled,0,pending,80,4,1,1,0,205,0,custom,0,0,Low,30,KW,Aramex International Shipping,web,175,0,205,RUSH & REEZ
,,,,Emerald Quilted Draped Vest - Emerald / One Size,0,0,0,0,0,0,0,0,0,pending,30,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rush & Reez
,,,,Scarlet Vest - Red / M,0,0,0,0,0,0,0,0,0,pending,35,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rush & Reez
,,,,Striped Vest,0,0,0,0,0,0,0,0,0,pending,30,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rush & Reez
R-S-1058,29/11/2017,14:13:29,300,Mia Silk Sweater Dress - M,0,0,0,0,0,0,0,0,0,pending,35,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rush & Reez
,,,,Quilted Cardigan - Emerald / One Size,0,0,0,0,0,0,0,0,0,pending,40,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rush & Reez
,,,,Striped Blue Shirtdress - M / Blue,no,2017-12-05 14:11:26 +0300,USD,0,0,voided,0,unfulfilled,0,pending,25,,1,1,0,103,0,custom,0,0,Low,3,LB,Local Shipping,web,100,0,103,Rush & Reez
R-S-1059,29/11/2017,23:54:13,300,Black Sweatdress with Pearls - M,0,0,0,0,0,0,0,0,0,pending,60,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RUSH & REEZ
,,,,Phantom Top With Lace,no,2017-12-05 14:57:08 +0300,USD,0,0,paid,0,unfulfilled,0,pending,70,,1,1,0,0,2017-11-29 23:54:13 +0300,2Checkout,c395722686492.1,0,Low,30,FR,Aramex International Shipping,web,130,0,160,RUSH & REEZ
R-S-1060,30/11/2017,0:05:39,300,Mint Jaquard Dress - M,0,0,0,0,0,0,0,0,0,pending,30,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rush & Reez
